name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,star(s)
Hayato,2019,34.03311,-118.24265,Los Angeles,United States,90001,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1
Bistro Na's,2019,34.104412,-118.07159,Los Angeles,United States,91780,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1
Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,United States,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1
Taco María,2019,33.69475,-117.924965,Costa Mesa,United States,92626,Mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1
Hana re,2019,33.67759,-117.886566,Costa Mesa,United States,92626,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1
Addison,2019,32.939903,-117.20013,San Diego,United States,92130,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1
Parachute,2019,41.94483,-87.70638,Chicago,United States,60618,Fusion,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1
Goosefoot,2019,41.96856,-87.69596,Chicago,United States,60625,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1
Elizabeth,2019,41.969555,-87.688736,Chicago,United States,60625,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1
EL Ideas,2019,41.863,-87.68686,Chicago,United States,60618,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1
Band of Bohemia,2019,41.967308,-87.67477,Chicago,United States,60640,Gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1
Schwa,2019,41.90888,-87.66792,Chicago,United States,60662,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1
Temporis,2019,41.898907,-87.66725,Chicago,United States,,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1
Entente,2019,41.93721,-87.6652,Chicago,United States,60657,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1
Elske,2019,41.884426,-87.66071,Chicago,United States,60607,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1
Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,United States,60608,Gastropub,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1
Roister,2019,41.886658,-87.65187,Chicago,United States,60607,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1
Boka,2019,41.91363,-87.64806,Chicago,United States,60614,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1
Blackbird,2019,41.88423,-87.64356,Chicago,United States,60661,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1
Sepia,2019,41.88394,-87.64247,Chicago,United States,60661,American,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1
North Pond,2019,41.9296,-87.63762,Chicago,United States,60614,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1
Everest,2019,41.87597,-87.63212,Chicago,United States,60605,French,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1
Topolobampo,2019,41.89047,-87.63085,Chicago,United States,60654,Mexican,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1
Spiaggia,2019,41.90062,-87.62457,Chicago,United States,60611,Italian,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1
Del Posto,2019,40.74327,-74.0077,New York,United States,10011,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/del-posto,1
Le Grill de Joël Robuchon,2019,40.742897,-74.0077,New York,United States,,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-grill-de-joel-robuchon,1
L'Appart,2019,40.711903,-74.01544,New York,United States,10281,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/l-appart,1
Okuda,2019,40.743793,-74.00633,New York,United States,,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/okuda,1
Wallsé,2019,40.73538,-74.00814,New York,United States,10014,Austrian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/wallse,1
Jeju Noodle Bar,2019,40.732952,-74.00744,New York,United States,10014,Korean,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar,1
Sushi Nakazawa,2019,40.731716,-74.00451,New York,United States,10014,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-nakazawa,1
Kosaka,2019,40.738316,-74.00137,New York,United States,10011,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kosaka,1
Bâtard,2019,40.719616,-74.00589,New York,United States,10013,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/batard,1
Hirohisa,2019,40.72452,-74.003006,New York,United States,10012,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hirohisa,1
Blue Hill,2019,40.7321,-73.9996,New York,United States,10011,American,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill,1
ZZ's Clam Bar,2019,40.727646,-74.00046,New York,United States,10012,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/zz-s-clam-bar,1
Babbo,2019,40.73233,-73.99916,New York,United States,10011,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/babbo,1
Carbone,2019,40.727966,-74.00017,New York,United States,10003,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/carbone,1
Le Coucou,2019,40.719162,-74.00001,New York,United States,10013,French,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-coucou,1
Aldea,2019,40.73885,-73.99366,New York,United States,10011,Mediterranean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aldea,1
Cote,2019,40.73778,-73.99375,New York,United States,10010,Korean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cote,1
Bouley at Home,2019,40.74114,-73.99242,New York,United States,,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bouley-at-home,1
Gotham Bar and Grill,2019,40.73417,-73.99379,New York,United States,10003,American,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gotham-bar-and-grill,1
Nix,2019,40.733166,-73.993515,New York,United States,10003,Vegetarian,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nix,1
Junoon,2019,40.74325,-73.99077,New York,United States,10010,Indian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/junoon,1
NoMad,2019,40.74497,-73.98883,New York,United States,10001,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nomad,1
The Musket Room,2019,40.723915,-73.99375,New York,United States,10012,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-musket-room,1
Uncle Boons,2019,40.721203,-73.99441,New York,United States,10012,Thai,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/uncle-boons,1
Noda,2019,40.74497,-73.988075,New York,United States,,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noda,1
Gramercy Tavern,2019,40.73849,-73.98868,New York,United States,10003,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gramercy-tavern,1
The Clocktower,2019,40.7414,-73.987595,New York,United States,10010,Contemporary,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-clocktower,1
Ai Fiori,2019,40.75013,-73.98357,New York,United States,10018,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori,1
Casa Mono,2019,40.73595,-73.98706,New York,United States,10003,Spanish,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-mono,1
Jewel Bako,2019,40.72713,-73.98928,New York,United States,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako,1
The River Café,2019,40.703613,-73.994774,New York,United States,11201,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-river-cafe,1
Bar Uchū,2019,40.72191,-73.99003,New York,United States,10002,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu,1
Café China,2019,40.749973,-73.98228,New York,United States,10016,Chinese,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-china,1
Kanoyama,2019,40.73071,-73.98655,New York,United States,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama,1
Contra,2019,40.719917,-73.98922,New York,United States,10002,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/contra,1
Atomix,2019,40.744408,-73.98292,New York,United States,,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix,1
Kyo Ya,2019,40.7266,-73.98526,New York,United States,10009,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kyo-ya,1
Kajitsu,2019,40.72776,-73.98428,New York,United States,10016,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu,1
Agern,2019,40.75234,-73.9775,New York,United States,10017,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern,1
Caviar Russe,2019,40.760685,-73.97355,New York,United States,10022,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe,1
Tuome,2019,40.724194,-73.9828,New York,United States,10009,Fusion,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tuome,1
Tempura Matsui,2019,40.74839,-73.97474,New York,United States,10158,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tempura-matsui,1
Sushi Yasuda,2019,40.75108,-73.97364,New York,United States,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda,1
Sushi Amane,2019,40.75133,-73.971725,New York,United States,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-amane,1
Café Boulud,2019,40.77439,-73.96414,New York,United States,10021,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-boulud,1
Claro,2019,40.677395,-73.98615,New York,United States,,Mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/claro,1
Satsuki,2019,40.801243,-73.95187,New York,United States,10036,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/satsuki,1
Sushi Noz,2019,40.77384,-73.958275,New York,United States,,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-noz,1
Sushi Inoue,2019,40.810448,-73.943726,New York,United States,10027,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-inoue,1
Meadowsweet,2019,40.710354,-73.96317,New York,United States,11212,Mediterranean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/meadowsweet,1
Casa Enríque,2019,40.743492,-73.95425,New York,United States,11101,Mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-enrique,1
Peter Luger,2019,40.70986,-73.96263,New York,United States,11211,Steakhouse,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/peter-luger,1
Oxomoco,2019,40.730057,-73.95538,New York,United States,11222,Mexican,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco,1
The Finch,2019,40.68704,-73.96297,New York,United States,11238,American,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-finch,1
Faro,2019,40.707584,-73.923035,New York,United States,11237,American,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/faro,1
Blue Duck Tavern,2019,38.905373,-77.05128,"Washington, D.C.",United States,20037,American,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blue-duck-tavern,1
Tail Up Goat,2019,38.9235,-77.043274,"Washington, D.C.",United States,20009,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tail-up-goat,1
Komi,2019,38.910107,-77.03836,"Washington, D.C.",United States,20036,Mediterranean,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/komi,1
Sushi Taro,2019,38.909992,-77.03834,"Washington, D.C.",United States,20036,Japanese,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-taro,1
Plume,2019,38.906,-77.03671,"Washington, D.C.",United States,20036,European,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/plume,1
Siren by RW,2019,38.907776,-77.035446,"Washington, D.C.",United States,20005,Seafood,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/siren-by-rw,1
Bresca,2019,38.91584,-77.0321,"Washington, D.C.",United States,20000,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bresca,1
The Dabney,2019,38.906292,-77.024666,"Washington, D.C.",United States,20001,American,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-dabney,1
Métier,2019,38.903503,-77.0218,"Washington, D.C.",United States,20001,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/metier,1
Kinship,2019,38.903282,-77.0218,"Washington, D.C.",United States,20001,Contemporary,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/kinship,1
Fiola,2019,38.89416,-77.02032,"Washington, D.C.",United States,20004,Italian,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fiola,1
Masseria,2019,38.909504,-76.99908,"Washington, D.C.",United States,20002,Italian,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/masseria,1
Rose's Luxury,2019,38.88064,-76.99515,"Washington, D.C.",United States,20003,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rose-s-luxury,1
